site,raw_path,instrument,serial,serial_source,layout,sample_rate_hz,files,start_utc,end_utc,days,date_correction,lat,lon,elev_m,position_source,position_scatter_m,dipole_n_m,dipole_e_m,dipole_source,azimuth_n_deg,azimuth_e_deg,azimuth_source,declination_deg,observatory,notes
Q65,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q65,PR6-24+Mag-03,61001,"1 GPS-locked boot records inside the deployment window; file holds 3 serial(s), majority 61001 agrees",edl_dayofyear,10.0,7270,2025-09-25 01:00:00+00:00,2025-11-24 14:48:59.900000+00:00,60.576,+1024 weeks,-26.00045,152.99815,32.0,"EDL .gps median over 61 daily files, >= 3 satellites",4.4584207111716285,10.6,10.4,"deployment sheet transcribed 2026-09-05, confidence medium",0,270,deployment sheet (direction as laid),10.625,CTA,"Ey laid WEST; deploy 'very sandy soil'; PICKUP 25/11-25: all cables slashed, even battery/sensor; SD 5458"
Q72N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q72N,PR6-24+Mag-03,62219,"128 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 62219 agrees",edl_dayofyear,10.0,7185,2025-09-22 00:00:00+00:00,2025-11-20 20:18:59.900000+00:00,59.847,+1024 weeks,-27.000954999999998,148.05258,290.0,"EDL .gps median over 60 daily files, >= 3 satellites",5.988396791601692,9.7,9,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),9.418,CTA,Ey laid WEST; SD 5951; sensor 1126
Q73,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q73,PR6-24+Mag-03,62220,"124 GPS-locked boot records inside the deployment window; file holds 4 serial(s), majority 62220 agrees",edl_dayofyear,10.0,7180,2025-09-22 04:00:00+00:00,2025-11-20 23:58:59.900000+00:00,59.833,+1024 weeks,-26.90558,148.914445,296.5,"EDL .gps median over 60 daily files, >= 3 satellites",4.138546352680274,6.5,10,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),9.661,CTA,deploy note 'Tire destroyed station' with sad->happy face; Ey laid WEST; HDD 5973; sensor 1498
Q74N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q74N,PR6-24+Mag-03,62137,"125 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 62137 agrees",edl_dayofyear,10.0,7185,2025-09-23 01:00:00+00:00,2025-11-21 21:08:59.900000+00:00,59.84,+1024 weeks,-27.03893,150.0157,281.0,"EDL .gps median over 60 daily files, >= 3 satellites",7.87472993511709,10.5,9.2,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),10.039,CTA,Ey laid WEST; SD 5970; batt 13.3 checked OK; sensor 1116
Q75,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q75,PR6-24+Mag-03,60969,"1 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 60969 agrees",edl_dayofyear,10.0,7155,2025-09-23 04:00:00+00:00,2025-11-21 18:34:59.900000+00:00,59.608,+1024 weeks,-26.99679,151.00674,323.5,"EDL .gps median over 60 daily files, >= 3 satellites",2.9785274004341655,9.7,9.3,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),10.33,CTA,"Ey laid WEST; PICKUP: instrument off, battery 4 V, north cable touching electrode/temperature connector; sensor 1117; SD number struck out"
Q76ALT,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q76ALT,PR6-24+Mag-03,62135,"103 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 62135 agrees",edl_dayofyear,10.0,5910,2025-09-24 00:00:00+00:00,2025-11-12 05:34:59.900000+00:00,49.233,+1024 weeks,-26.91507,151.98487,437.5,"EDL .gps median over 50 daily files, >= 3 satellites",2.4376514283521,9.5,9.3,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),10.599,CTA,"Ey laid WEST; PICKUP: instrument off, battery 11.18 V, northern electrode touching temperature connector; access track from the east if rain; HDD 5964; sensor 1503"
Q77N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q77N,PR6-24+Mag-03,62136,"92 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 62136 agrees",edl_dayofyear,10.0,5400,2025-09-24 03:00:00+00:00,2025-11-20 14:01:59.900000+00:00,57.46,+1024 weeks,-27.02091,153.04251,7.0,"EDL .gps median over 46 daily files, >= 3 satellites",8.011191354166225,9.5,8.5,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),10.945,CTA,Ey laid WEST; deploy note 'no sunlight in forest'; HDD 5959; sensor 1118
Q83,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q83,PR6-24+Mag-03,60848,"NO boot of this deployment reached satellite lock, so every one of its 129 records stamps 01/01/99 and no date places it; taken from the file majority (129 of 155 records over 2 serial(s))",edl_dayofyear,10.0,7270,2025-09-21 02:00:00+00:00,2025-11-20 15:43:59.900000+00:00,60.572,+1024 weeks,-27.98093,147.999885,207.0,"EDL .gps median over 61 daily files, >= 3 satellites",5.797302762266721,11.5,9.5,"deployment sheet transcribed 2026-09-05, confidence high",0,270,deployment sheet (direction as laid),9.679,CTA,Ey laid WEST (Ey East blank); 'Barrington #1121'; goats at site; SD 5943
Q84,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q84,PR6-24+Mag-03,60965,"NO boot of this deployment reached satellite lock, so every one of its 128 records stamps 01/01/99 and no date places it; taken from the file majority (128 of 128 records over 1 serial(s))",edl_dayofyear,10.0,7195,2025-09-21 00:00:00+00:00,2025-11-19 22:08:59.900000+00:00,59.923,+1024 weeks,-27.95679,149.00031,208.5,"EDL .gps median over 60 daily files, >= 3 satellites",5.169733481765009,12,10.5,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),9.991,CTA,SD 5953; batt 13.2
Q85N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q85N,PR6-24+Mag-03,62217,"127 GPS-locked boot records inside the deployment window; file holds 1 serial(s), majority 62217 agrees",edl_dayofyear,10.0,7285,2025-09-20 04:00:00+00:00,2025-11-19 20:20:59.900000+00:00,60.681,+1024 weeks,-27.892985000000003,150.012625,268.0,"EDL .gps median over 62 daily files, >= 3 satellites",5.6087728318288885,12.1,11.1,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),10.291,CTA,mud map shows road and access arrow; E-W 44.5 mV
Q86N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q86N,PR6-24+Mag-03,60964,"1 GPS-locked boot records inside the deployment window; file holds 2 serial(s), majority 60964 agrees",edl_dayofyear,10.0,1450,2025-09-20 01:00:00+00:00,2025-10-02 02:48:59.900000+00:00,12.076,+1024 weeks,-28.00658,150.915975,369.0,"EDL .gps median over 13 daily files, >= 3 satellites",2.042028934260504,10.6,9.9,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),10.607,CTA,"deploy note 'NE'; PICKUP: battery died even though solar panel in full sun, ~8 V at finish; HDD 5955; EDL-LP mag, silver electrodes"
Q87,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q87,PR6-24+Mag-03,60967,"1 GPS-locked boot records inside the deployment window; file holds 4 serial(s), majority 60967 agrees",edl_dayofyear,10.0,5720,2025-09-19 08:00:00+00:00,2025-11-19 01:56:59.900000+00:00,60.748,+1024 weeks,-27.97387,151.99998,531.5,"EDL .gps median over 54 daily files, >= 3 satellites",3.3395999998735704,6.8,8.9,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),10.93,CTA,"lightning strike ~300 m (sketched); 'NO HD#'; 20/9 sensor checked, good; crew GB PB"
Q88N,E:\MT_Timeseries_DATA\MT_AusLAMP_QLD\Phase1\Q88N,PR6-24+Mag-03,60992,"1 GPS-locked boot records inside the deployment window; file holds 5 serial(s), majority 60992 agrees",edl_dayofyear,10.0,7255,2025-09-19 04:00:00+00:00,2025-11-18 14:52:59.900000+00:00,60.453,+1024 weeks,-28.04449,152.97469,123.0,"EDL .gps median over 61 daily files, >= 3 satellites",5.777358853556567,9.67,10.4,"deployment sheet transcribed 2026-09-05, confidence high",0,90,deployment sheet (direction as laid),11.247,CTA,'picked up' ticked at top of sheet; HDD 5443 in mud map; crew GB SB DB
